dose_mM,genotype,mean_pct,sd_wells,well_n,culture_preparations,sem_wells
0,CS,100.0,11.521346971356458,9,2,3.8404489904521526
0,WT,100.0,4.340174590121792,9,2,1.4467248633739305
5,CS,61.89519592482534,7.097258706454489,6,1,2.897443733889813
5,WT,48.23510936214185,5.6394816921974025,6,1,2.3023087599418433
10,CS,59.41858496630462,3.230654063808635,6,1,1.3189089986300073
10,WT,45.29362418300536,4.830853714610712,6,1,1.972187770470826
20,CS,43.10546353072875,5.185995157560195,9,2,1.728665052520065
20,WT,29.289670711702414,4.9981592438288,9,2,1.6660530812762666
40,CS,20.922328039025683,5.923592761524042,9,2,1.9745309205080142
40,WT,14.752528929204455,5.053794374236005,9,2,1.684598124745335
