comparison,sex,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENTREZID
CSF_vs_WTF,Female,CG15387,580.720854821407,-3.92955532407496,0.197246288625708,-19.9220748408181,2.61910203740344e-88,1.9528024790880096e-84,33403
CSF_vs_WTF,Female,timeout,597.128150677276,3.96185054231995,0.229392665015106,17.2710428298091,7.7725133324459e-67,2.8975929703358303e-63,41615
CSF_vs_WTF,Female,Tina-1,235.139510324863,-3.5403113691072,0.239476291933386,-14.7835568211153,1.87023142876547e-49,4.64814851095845e-46,37989
CSF_vs_WTF,Female,Nmdar1,653.468025715864,2.49132020624968,0.219330232093661,11.3587633700483,6.70875459967631e-30,1.2505118573796599e-26,40665
CSF_vs_WTF,Female,TotZ,281.332104373668,-4.11554171353569,0.401916665745383,-10.2397886534591,1.3152336021273801e-24,1.65102049568456e-21,117459
CSF_vs_WTF,Female,LysP,1001.25972032567,-1.77949632246461,0.173799143502108,-10.2388095050826,1.32861091390925e-24,1.65102049568456e-21,38129
CSF_vs_WTF,Female,beat-IIIc,386.162716728053,-1.96780479148765,0.195224791883454,-10.0796869726586,6.79422247476658e-24,7.236817538837091e-21,35037
CSF_vs_WTF,Female,LysX,210.535509171295,-7.73670411881129,0.826752398815651,-9.35794577662474,8.13019518968958e-21,7.57734191679069e-18,38122
CSF_vs_WTF,Female,asRNA:CR44114,195.323313361387,-11.0771908551534,1.1989335880827,-9.2392030428205,2.4833997991100698e-20,2.05735876690719e-17,14462669
CSF_vs_WTF,Female,AsnS,2619.22446457832,1.1170316976266501,0.121636195149744,9.18338243194385,4.1775854796893895e-20,3.11480773365641e-17,2768965
CSF_vs_WTF,Female,AttD,218.30847978888,-2.81540388149794,0.310325399615609,-9.07242489652892,1.16397207327203e-19,7.88961434392385e-17,42122
CSF_vs_WTF,Female,CG1304,87.6233025987598,7.03212033067315,0.788571079765869,8.91754784205506,4.767263288759559e-19,2.96205959008261e-16,33074
CSF_vs_WTF,Female,Vha16-1,67.2824337005183,-3.28974000135062,0.378105503679636,-8.70058745333149,3.30170495260491e-18,1.8936547789709403e-15,44307
CSF_vs_WTF,Female,sau,126.926779872288,-10.4554021278639,1.2173479792609,-8.58867169123804,8.79805244856954e-18,4.685591361181031e-15,33402
CSF_vs_WTF,Female,Paip2,973.797713840745,-1.82723177124639,0.216263054455076,-8.44911663645236,2.9351513002851e-17,1.45896587299505e-14,41591
CSF_vs_WTF,Female,CG31436,244.48778256813,1.76730910074631,0.20959237280763,8.43212506768266,3.39443916620015e-17,1.58180865144927e-14,318734
CSF_vs_WTF,Female,dbf,163.372357777132,8.94396155771012,1.07303087050168,8.33523228789168,7.73461926763971e-17,3.39231301526598e-14,34462
CSF_vs_WTF,Female,CG9360,457.796597327827,1.33974175609357,0.163678487578028,8.1852036630953,2.71843522275336e-16,1.12603627893606e-13,32128
CSF_vs_WTF,Female,CG13367,319.049700506419,1.7181684096554,0.214351801118306,8.0156471776372,1.09558586911615e-15,4.29930960006844e-13,31013
CSF_vs_WTF,Female,Bin1,140.279638790055,-2.38409987427878,0.303445114496639,-7.85677462045673,3.9415113832408806e-15,1.4693954436722e-12,41965
CSF_vs_WTF,Female,Bap170,268.81342509237,-1.45764401282217,0.188654697277278,-7.72651852224904,1.1052772364064101e-14,3.92426051173629e-12,35560
CSF_vs_WTF,Female,lncRNA:CR46123,59.3383998261993,9.34056919434193,1.22831232030575,7.60439266131997,2.8624493127406603e-14,9.70110094354288e-12,26067439
CSF_vs_WTF,Female,Cyp304a1,1080.68212674266,-1.34925145115446,0.180199571713388,-7.48753972235004,7.01766289991811e-14,2.2749432426865e-11,41586
CSF_vs_WTF,Female,CG33919,54.0202141994853,-6.76827435989037,0.9069528318995,-7.46265309709112,8.47973947469493e-14,2.6343723968052198e-11,3772720
CSF_vs_WTF,Female,CG11893,129.120664505812,2.6082538813065,0.358352333603676,7.2784621076059,3.37647039414751e-13,1.0069985303505501e-10,43056
CSF_vs_WTF,Female,Drsl5,686.446044875898,1.642855333533,0.230353482202674,7.1318884256655,9.90011146534199e-13,2.79480652518119e-10,38409
CSF_vs_WTF,Female,lncRNA:CR45148,48.817522033627,9.05879376414856,1.27146510562574,7.12468924555372,1.04315771903511e-12,2.79480652518119e-10,19835769
CSF_vs_WTF,Female,CG46397,55.3410322692566,3.18415694280611,0.446971520697182,7.12384748325685,1.04955180666676e-12,2.79480652518119e-10,54520430
CSF_vs_WTF,Female,TotA,854.650855136805,-3.09071285805418,0.435791878298047,-7.09217636208532,1.3201911572164399e-12,3.39425698903648e-10,44121
CSF_vs_WTF,Female,CG10962,2076.09196262305,1.18219170872228,0.167875906693622,7.04205702894468,1.8942226272064197e-12,4.70777463615036e-10,31824
CSF_vs_WTF,Female,t,44.1542280686848,6.45709258761606,0.92694091436325,6.966023926187,3.2602372172537398e-12,7.841396352207711e-10,31863
CSF_vs_WTF,Female,LysD,944.163445363983,-2.35159525734184,0.339908835131152,-6.91831165975574,4.57057912343487e-12,1.0649449357603302e-9,38127
CSF_vs_WTF,Female,CG17560,136.438018228599,-3.0387202578878,0.4407832743461,-6.89391007949593,5.4279342061130496e-12,1.22638416487209e-9,42022
CSF_vs_WTF,Female,CG43218,6008.57758744641,1.67008448679807,0.243478458143031,6.85927001318933,6.9213309013178494e-12,1.5178071529478201e-9,12798438
CSF_vs_WTF,Female,CG12780,276.574394678271,-1.5879306840298,0.246269362323502,-6.44794248479791,1.13378771940373e-10,2.41529178167834e-8,35834
CSF_vs_WTF,Female,CG12224,136.304447563764,1.54426226022315,0.240864760576482,6.41132499634709,1.4426029328712701e-10,2.98779096319116e-8,41453
CSF_vs_WTF,Female,rst,65.6319159369293,6.2966065210635,0.992372631937402,6.3450021881102,2.22422285102807e-10,4.48210961547711e-8,31290
CSF_vs_WTF,Female,Adk3,1751.23893307126,1.14145182729254,0.180355214390004,6.32890948649945,2.46899879454592e-10,4.84443552950904e-8,44750
CSF_vs_WTF,Female,lncRNA:CR44922,430.171533467017,1.32973144459243,0.21137281991121,6.29092919870683,3.15571251734018e-10,6.03307500750983e-8,19835920
CSF_vs_WTF,Female,DNAlig3,481.901855991471,0.992042512486254,0.159074140461288,6.23635312194362,4.47889446910224e-10,8.34865929040657e-8,41518
CSF_vs_WTF,Female,LysE,231.886967177884,-2.79118226300149,0.451322531588839,-6.18445140147422,6.23188076250715e-10,1.13329031622569e-7,38128
CSF_vs_WTF,Female,CG14893,116.401706560682,2.3023744229898,0.388322389629987,5.92902826227356,3.04732640008862e-9,5.29212429383357e-7,42023
CSF_vs_WTF,Female,Nazo,51.2195162648985,-3.65808169470181,0.617004794193483,-5.92877353486931,3.0520566608750503e-9,5.29212429383357e-7,40976
CSF_vs_WTF,Female,tobi,195.356759210386,-3.58245549386361,0.605779111803372,-5.91379832031321,3.3430719154833304e-9,5.66498731860084e-7,43072
CSF_vs_WTF,Female,Cyp28a5,434.928170587044,1.16089504601816,0.196482204012087,5.90839792262682,3.4545076245218805e-9,5.72373529965225e-7,34817
CSF_vs_WTF,Female,DptA,77.728858849747,-3.19910986948986,0.550648836052241,-5.80970967345576,6.258127240292311e-9,1.01436079790477e-6,37183
CSF_vs_WTF,Female,ImpL2,897.934924194773,0.948456418174197,0.163715812558672,5.79330978083925,6.9012641722806705e-9,1.09480480145797e-6,38513
CSF_vs_WTF,Female,ND2,42045.1632810092,1.94487410705515,0.337681638300992,5.75949026082844,8.43683269317204e-9,1.31052134500606e-6,19893529
CSF_vs_WTF,Female,CG43336,108.837582634346,-1.73020313166643,0.302275663291474,-5.72392468790337,1.04090907433769e-8,1.58388123637996e-6,12798414
CSF_vs_WTF,Female,CG9577,745.606996306936,0.892030455706982,0.159269873233981,5.6007481992311,2.13428574351845e-8,3.18264690073472e-6,33016
CSF_vs_WTF,Female,lncRNA:CR44779,70.6461231549436,1.64903493518286,0.306130895297624,5.38669882887726,7.17635341771127e-8,1.04915472710697e-5,19835701
CSF_vs_WTF,Female,mat,146.273701147111,-1.86923281133784,0.349262988827496,-5.35193499206146,8.70186623683791e-8,1.22900851998305e-5,38107
CSF_vs_WTF,Female,Arc1,5603.4267006102,-1.06770383126722,0.199525250769645,-5.35122159801165,8.73624618550186e-8,1.22900851998305e-5,36595
CSF_vs_WTF,Female,CG14292,7178.91797970953,-0.636442194254065,0.119169904746397,-5.34062853879481,9.26248751602412e-8,1.2789093873977e-5,42264
CSF_vs_WTF,Female,ND4L,3471.31977526907,4.36097714380546,0.820838563965771,5.31283170071345,1.07934714209579e-7,1.46320223481204e-5,19893552
CSF_vs_WTF,Female,CG30008,474.81408495203,-1.15805249379861,0.221746177191335,-5.22242371195145,1.76596318377902e-7,2.35125383897436e-5,246388
CSF_vs_WTF,Female,lncRNA:CR44580,12.933357980086,7.14248482333212,1.38195416868625,5.16839486082385,2.36113053411824e-7,3.08852443199747e-5,19836227
CSF_vs_WTF,Female,CG14499,25.2932997033064,-8.12885338913105,1.57540455347762,-5.15985139892292,2.47145931347455e-7,3.14297302182355e-5,37086
CSF_vs_WTF,Female,TotX,234.399977050138,-1.87817748609176,0.364081518450027,-5.15867296447115,2.48706287939363e-7,3.14297302182355e-5,117460
CSF_vs_WTF,Female,Sting,24.7348593906143,-3.30859460105244,0.644827832283326,-5.13097362645895,2.88247299744433e-7,3.58195311149082e-5,36016
CSF_vs_WTF,Female,CG44475,20.9612887708543,-5.96725067128274,1.16753532939422,-5.11098081663949,3.20490530240575e-7,3.91733998930119e-5,19835392
CSF_vs_WTF,Female,Drs,1859.94480950345,-1.29898839534279,0.254602491098561,-5.10202547405528,3.36037505502533e-7,4.04112200165627e-5,38419
CSF_vs_WTF,Female,CG13326,917.489356621556,-7.47604747337361,1.48152575727969,-5.04618123352832,4.50727889707145e-7,5.33432880262932e-5,36439
CSF_vs_WTF,Female,Spn88Eb,767.436685163076,-1.13236491416002,0.226511526326793,-4.99914919352197,5.75838353249548e-7,6.70851681535723e-5,41829
CSF_vs_WTF,Female,CG32437,356.889906824366,-1.66278810961921,0.336525643484312,-4.94104429131484,7.77052524940235e-7,8.91339019377599e-5,40366
CSF_vs_WTF,Female,Hsp70Ab,162.903374963427,-1.19203069702176,0.24267405055619,-4.91206494592118,9.01221888955108e-7,9.99219369582883e-5,44920
CSF_vs_WTF,Female,Mdr65,724.20465309602,0.786878635897797,0.160253969806227,4.91019746249817,9.09847272869638e-7,9.99219369582883e-5,38726
CSF_vs_WTF,Female,CG8671,22.2652832281422,3.09806839803394,0.630986133567985,4.90988348747943,9.11305219040183e-7,9.99219369582883e-5,35400
CSF_vs_WTF,Female,CG9346,348.861300056573,0.77803038429695,0.159158594866987,4.88839691596406,1.01660406122448e-6,1.0985217218101e-4,37381
CSF_vs_WTF,Female,NimC4,1235.41657325225,-1.39022800828715,0.287702220389534,-4.83217684731406,1.35048208335514e-6,1.4384563447851e-4,34824
CSF_vs_WTF,Female,mthl8,156.2860530702,-1.09493991991961,0.226888474429432,-4.8258948484409,1.39376034710553e-6,1.463644668735e-4,38013
CSF_vs_WTF,Female,CG3868,565.761002604379,0.828525066156901,0.172672055022597,4.79825798128408,1.6005154735568e-6,1.6574226903943e-4,39580
CSF_vs_WTF,Female,Srg2,68.0024366991194,-1.95684192782583,0.40992561965004,-4.77365120408044,1.80915604021116e-6,1.8319117370523e-4,39179
CSF_vs_WTF,Female,jtb,141.486774467166,-1.24951857859033,0.26180799016965,-4.77265257557896,1.81815274331907e-6,1.8319117370523e-4,36838
CSF_vs_WTF,Female,CG7173,28.4414912854879,2.48236782885061,0.524629605875525,4.73165791836684,2.22693471343129e-6,2.2138700297791e-4,40392
CSF_vs_WTF,Female,Rdh1,344.411306458197,-1.04898531160609,0.222839028574475,-4.70736799705402,2.50935669488261e-6,2.4618109890848e-4,35708
CSF_vs_WTF,Female,CG15213,699.450740487486,-0.822993461812237,0.175974939390719,-4.67676513861407,2.91435714690711e-6,2.8220060892648e-4,50316
CSF_vs_WTF,Female,Tep1,55.5749406721146,-2.62618056390918,0.571321834973415,-4.59667459415652,4.29287266488292e-6,4.1035459729957e-4,34937
CSF_vs_WTF,Female,mRpS33,573.664629906358,-0.829054187795027,0.18069439910251,-4.58815653342246,4.47177289701268e-6,4.2204479392565e-4,41991
CSF_vs_WTF,Female,CG42680,14.9545675484238,-4.88355674550944,1.06718957214138,-4.57609113974971,4.73744221999512e-6,4.4152961490354e-4,10178899
CSF_vs_WTF,Female,CG12868,215.508321157958,-0.840597032387514,0.184962720286167,-4.5446835507554,5.5017846581746e-6,5.064358816216e-4,36620
CSF_vs_WTF,Female,IntS12,55.0268038770008,1.67922199051071,0.376050945826867,4.4654108948414,7.99152278360083e-6,7.2664382773814e-4,43227
CSF_vs_WTF,Female,Bcat,1072.20054259994,0.618083099309402,0.138669795141879,4.45722948301046,8.30257093966487e-6,7.4583095091736e-4,32297
CSF_vs_WTF,Female,edin,26.8724164934086,-2.47873831084065,0.562239898367143,-4.40868447443769,1.04000412903178e-5,9.2312747453106e-4,317900
CSF_vs_WTF,Female,unc-13,708.124142229341,0.783414382375014,0.179821298399373,4.35662732584154,1.32081872426607e-5,0.00115859110683856,43841
CSF_vs_WTF,Female,PPO1,39.4000047347125,-2.42826101488189,0.557855214755556,-4.352851691,1.34378059917098e-5,0.00116502652876963,37044
CSF_vs_WTF,Female,Acsx1R,72.7470379265879,-1.47853033981224,0.339973979669584,-4.34895147343101,1.36789973459282e-5,0.0011723057955315,42352
CSF_vs_WTF,Female,grau,460.26327222133,0.730956553548525,0.168253607312572,4.34437374166127,1.39673547063437e-5,0.00118341587148294,45871
