"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","direction"
"timeout",597.128150677276,3.96185054231995,0.229392665015106,17.2710428298091,7.7725133324459e-67,2.89759297033583e-63,"timeout","up"
"Nmdar1",653.468025715864,2.49132020624968,0.219330232093661,11.3587633700483,6.70875459967631e-30,1.25051185737966e-26,"Nmdar1","up"
"AsnS",2619.22446457832,1.11703169762665,0.121636195149744,9.18338243194385,4.17758547968939e-20,3.11480773365641e-17,"AsnS","up"
"CG1304",87.6233025987598,7.03212033067315,0.788571079765869,8.91754784205506,4.76726328875956e-19,2.96205959008261e-16,"CG1304","up"
"CG31436",244.48778256813,1.76730910074631,0.20959237280763,8.43212506768266,3.39443916620015e-17,1.58180865144927e-14,"CG31436","up"
"dbf",163.372357777132,8.94396155771012,1.07303087050168,8.33523228789168,7.73461926763971e-17,3.39231301526598e-14,"dbf","up"
"CG9360",457.796597327827,1.33974175609357,0.163678487578028,8.1852036630953,2.71843522275336e-16,1.12603627893606e-13,"CG9360","up"
"CG13367",319.049700506419,1.7181684096554,0.214351801118306,8.0156471776372,1.09558586911615e-15,4.29930960006844e-13,"CG13367","up"
"lncRNA:CR46123",59.3383998261993,9.34056919434193,1.22831232030575,7.60439266131997,2.86244931274066e-14,9.70110094354288e-12,"lncRNA:CR46123","up"
"CG11893",129.120664505812,2.6082538813065,0.358352333603676,7.2784621076059,3.37647039414751e-13,1.00699853035055e-10,"CG11893","up"
"CG46397",55.3410322692566,3.18415694280611,0.446971520697182,7.12384748325685,1.04955180666676e-12,2.79480652518119e-10,"CG46397","up"
"Drsl5",686.446044875898,1.642855333533,0.230353482202674,7.1318884256655,9.90011146534199e-13,2.79480652518119e-10,"Drsl5","up"
"lncRNA:CR45148",48.817522033627,9.05879376414856,1.27146510562574,7.12468924555372,1.04315771903511e-12,2.79480652518119e-10,"lncRNA:CR45148","up"
"CG10962",2076.09196262305,1.18219170872228,0.167875906693622,7.04205702894468,1.89422262720642e-12,4.70777463615036e-10,"CG10962","up"
"t",44.1542280686848,6.45709258761606,0.92694091436325,6.966023926187,3.26023721725374e-12,7.84139635220771e-10,"t","up"
